Country,Capital city,Exchange rate (per US$),National currency,"Pop. density (per km2, 2024)","Population (000, 2024)",Region,Sex ratio (m per 100 f),Surface area (km2),UN membership date,Capital_city_pop
Lesotho,Maseru,18.5,Loti (LSL),77.0,2337.0,Southern Africa,95.0,30355.0,1966-10-17,201.9
Liberia,Monrovia,154.5,Liberian Dollar (LRD),58.3,5613.0,Western Africa,99.7,111369.0,1945-11-02,1467.0
Libya,Tripoli,4.8,Libyan Dinar (LYD),4.4,7381.0,Northern Africa,103.4,1676198.0,1955-12-14,1160.9
Liechtenstein,Vaduz,0.8,Swiss Franc (CHF),249.2,40.0,Western Europe,98.7,160.0,1990-09-18,5.5
Lithuania,Vilnius,0.9,Euro (EUR),45.7,2859.0,Northern Europe,89.4,65286.0,1991-09-17,537.6
Luxembourg,Luxembourg,0.9,Euro (EUR),259.9,673.0,Western Europe,101.3,2586.0,1945-10-24,119.8
Madagascar,Antananarivo,4572.8,Malagasy Ariary (MGA),54.9,31965.0,Eastern Africa,100.6,587041.0,1960-09-20,3210.4
Malawi,Lilongwe,773.1,Malawi Kwacha (MWK),229.0,21655.0,Eastern Africa,95.3,117726.0,1964-12-01,1074.7
Malaysia,Kuala Lumpurd,4.6,Malaysian Ringgit (MYR),108.2,35558.0,South-eastern Asia,109.9,330621.0,1957-09-17,7780.3
Maldives,Male,15.4,Rufiyaa (MVR),1759.3,528.0,Southern Asia,162.6,300.0,1965-09-21,176.9
Mali,Bamako,593.6,"CFA Franc, BCEAO (XOF)c",20.1,24479.0,Western Africa,101.8,1240192.0,1960-09-28,2529.3
Malta,Valletta,0.9,Euro (EUR),1713.0,540.0,Southern Europe,107.9,315.0,1964-12-01,212.8
Marshall Islands,Majuro,1.0,US Dollar (USD),208.6,38.0,Micronesia,105.1,181.0,1991-09-17,30.7
Martinique,Fort-de-France,0.9,Euro (EUR),323.8,343.0,Caribbean,83.1,1090.0,,79.4
Mauritania,Nouakchott,36.2,Ouguiya (MRU),5.0,5169.0,Western Africa,96.3,1030700.0,1961-10-27,1259.0
Mauritius,Port Louis,44.3,Mauritius Rupee (MUR),626.2,1271.0,Eastern Africa,99.7,1979.0,1968-04-24,149.4
Mayotte,Mamoudzou,0.9,Euro (EUR),870.7,326.0,Eastern Africa,91.6,,,6.2
Mexico,Mexico City,16.9,Mexican Peso (MXN),66.8,130861.0,Central America,94.2,1964375.0,1945-11-07,21671.9
Micronesia (Federated States of),Palikir,1.0,US Dollar (USD),161.7,113.0,Micronesia,98.7,702.0,1991-09-17,7.0
Monaco,Monaco,0.9,Euro (EUR),25926.8,39.0,Western Europe,95.8,2.0,1993-05-28,38.9
Mongolia,Ulaanbaatar,3410.7,Tugrik (MNT),2.2,3476.0,Eastern Asia,99.4,1564116.0,1961-10-27,1552.7
Montenegro,Podgorica,0.9,Euro (EUR),46.2,638.0,Southern Europe,92.8,13812.0,2006-06-28,177.2
Montserrat,Brades Estate,2.7,E. Caribbean Dollar (XCD)d,42.6,4.0,Caribbean,99.2,103.0,,0.5
Morocco,Rabat,9.9,Moroccan Dirham (MAD),85.3,38081.0,Northern Africa,101.7,446550.0,1956-11-12,1864.9
Mozambique,Maputo,63.9,Mozambique Metical (MZN),44.0,34632.0,Eastern Africa,94.2,799380.0,1975-09-16,1104.3
Myanmar,Nay Pyi Taw,1329.1,Kyat (MMK),83.4,54500.0,South-eastern Asia,99.1,676577.0,1948-04-19,546.5
Namibia,Windhoek,18.6,Namibia Dollar (NAD),3.7,3030.0,Southern Africa,95.5,825229.0,1990-04-23,417.4
Nauru,Yaren,1.5,Australian Dollar (AUD),597.3,12.0,Micronesia,103.7,21.0,1999-09-14,11.3
Nepal,Kathmandu,132.8,Nepalese Rupee (NPR),201.5,29651.0,Southern Asia,91.9,147181.0,1955-12-14,1376.1
Netherlands (Kingdom of the),Amsterdamd,0.9,Euro (EUR),541.4,18229.0,Western Europe,98.7,41543.0,1945-12-10,1140.3
