Country,Year,"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),Forested area (% of land area),Important sites for terrestrial biodiversity protected (%),Individuals using the Internet (per 100 inhabitants),Net Official Development Assist. disbursed (% of GNI),Net Official Development Assist. received (% of GNI),Research & Development expenditure (% of GDP),Threatened species (number),Tourist/visitor arrivals at national borders (000),CO2 emission estimates - Total (million tons),CO2 emission estimates - Per capita (tons per capita),CO2 emission estimates - Total/CO2 emission estimates - Per capita Ratio,Pop. using safely managed drinking water - Urban (%),Pop. using safely managed drinking water - Rural (%),Pop. using safely managed drinking water - Urban/Pop. using safely managed drinking water - Rural Ratio,Pop. using safely managed sanitation - Urban (%),Pop. using safely managed sanitation - Rural (%),Pop. using safely managed sanitation - Urban/Pop. using safely managed sanitation - Rural Ratio
Falkland Islands (Malvinas),2015,0,165,0,20.8,98.3,,,,23,,0,12.2,0,,,,,,
Falkland Islands (Malvinas),2020,0,155,0,20.8,99,,,,24,,0,11.1,0,,,,,,
Falkland Islands (Malvinas),2024,0,150,0,20.8,,,,,25,,0,10.7,0,,,,,,
Faroe Islands,2015,1,186,0.1,15.8,94.2,,,,14,,0.6,12.9,4.651162791,,,,,,
Faroe Islands,2020,1,210,0.1,15.8,97.6,,,,29,,0.8,14.9,5.369127517,,,,,,
Faroe Islands,2024,1,215,0.1,15.8,,,,,32,,0.8,15.3,5.22875817,,,,,,
Fiji,2015,7,27,60.6,11.2,42.5,,2.33,,278,755,1.3,1.4,92.85714286,52.5,27.1,193.7269373,42.9,54.5,78.71559633
Fiji,2020,6,22,62.4,11.2,83,,4.51,,321,147,1,1.1,90.90909091,52.5,27,194.4444444,43,57.7,74.52339688
Fiji,2024,6,24,62.8,11.2,85.2,,13.98,,362,636,1.1,1.2,91.66666667,52.5,27,194.4444444,42.7,57.3,74.52006981
Finland,2015,732,247,73.7,71.7,86.4,0.02,,2.9,25,2622,42,7.7,545.4545455,,,,,,
Finland,2020,745,239,73.7,71.8,92.2,0.96,,2.9,61,896,35.3,6.4,551.5625,,,,,,
Finland,2024,796,250,73.7,71.9,93,0.77,,3,40,2127,34.7,6.3,550.7936508,,,,,,
France,2015,5770,159,30.7,64.2,78,0.05,,2.2,236,84452,308.8,4.7,6570.212766,99,98.4,100.6097561,,,
France,2020,4973,136,31.5,80.8,84.7,0.78,,2.3,366,41684,256,3.8,6736.842105,99.8,98.4,101.4227642,,,
France,2024,5278,147,31.7,81.1,85.3,0.9,,2.2,417,48395,285,4.3,6627.906977,100,98.4,101.6260163,,,
French Guiana,2015,3,52,96.8,81.3,,,,,67,87,0.7,2.9,24.13793103,,,,,,
French Guiana,2020,,,96.6,83.2,,,,,79,111,,,,,,,,,
French Guiana,2024,,,96.6,83.2,,,,,162,,,,,,,,,,
French Polynesia,2015,1,44,43.1,0,64.6,,,,175,184,0.9,3,30,,,,,,
French Polynesia,2020,1,42,43.1,0,72.7,,,,181,77,0.9,2.8,32.14285714,,,,,,
French Polynesia,2024,1,44,43.1,0,,,,,448,219,0.9,2.9,31.03448276,,,,,,
Gabon,2015,561,55,91.6,61.2,45.8,,0.75,,231,,3.5,1.7,205.8823529,,,,,,
Gabon,2020,515,45,91.3,61.7,72.3,,0.37,,329,,2.7,1.2,225,,,,,,
Gabon,2024,499,45,91.3,61.7,73.7,,0.58,,638,,2.8,1.2,233.3333333,,,,,,
Gambia,2015,7,7,26.8,41.7,17.6,,8.47,0.1,55,449,0.6,0.3,200,65.3,9,725.5555556,31.3,33.7,92.87833828
Gambia,2020,7,7,24,41.7,44.8,,16.73,0.1,87,246,0.7,0.3,233.3333333,67.6,11.2,603.5714286,31.3,25.8,121.3178295
Gambia,2024,7,7,23.4,41.7,54.2,,12.24,,127,570,0.7,0.3,233.3333333,67.8,12.2,555.7377049,31,22.6,137.1681416
