Country,Year,"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),Forested area (% of land area),Important sites for terrestrial biodiversity protected (%),Individuals using the Internet (per 100 inhabitants),Net Official Development Assist. disbursed (% of GNI),Net Official Development Assist. received (% of GNI),Research & Development expenditure (% of GDP),Threatened species (number),Tourist/visitor arrivals at national borders (000),CO2 emission estimates - Total (million tons),CO2 emission estimates - Per capita (tons per capita),CO2 emission estimates - Total/CO2 emission estimates - Per capita Ratio,Pop. using safely managed drinking water - Urban (%),Pop. using safely managed drinking water - Rural (%),Pop. using safely managed drinking water - Urban/Pop. using safely managed drinking water - Rural Ratio,Pop. using safely managed sanitation - Urban (%),Pop. using safely managed sanitation - Rural (%),Pop. using safely managed sanitation - Urban/Pop. using safely managed sanitation - Rural Ratio
Romania,2024,966,75,30.1,76,85.5,0.14,,0.5,165,12697,69.1,3.6,1919.444444,95,66.7,142.4287856,,,
Russian Federation,2015,56024,200,49.8,24.6,70.1,,,1.1,217,33729,1571.8,10.9,14420.18349,,,,63.3,,
Russian Federation,2020,60041,216,49.8,25.5,85,,,1.1,279,6359,1607.8,11,14616.36364,,,,64.2,,
Russian Federation,2024,63711,240,49.8,25.5,90.4,,,0.9,276,,1811.2,12.5,14489.6,,,,64.2,,
Rwanda,2015,86,8,10.9,57.6,12.5,,13,,61,1217,0.9,0.1,900,44.6,,,,50.2,
Rwanda,2020,89,8,11.2,57.6,23.8,,16.34,0.8,168,460,1.2,0.1,1200,52.6,,,,56.6,
Rwanda,2024,89,8,11.2,57.6,34.4,,12.27,,196,480,1.5,0.1,1500,54.6,,,,57.9,
Réunion,2015,8,65,38.3,47.1,,,,,126,426,3.9,4.4,88.63636364,,,,,,
Réunion,2020,,,39.2,48.1,,,,,145,217,,,,,,,,,
Réunion,2024,,,39.4,48.1,,,,,163,495,,,,,,,,,
Saint Helena,2015,0,29,5.1,38.5,37.6,,,,80,,0,1.9,0,,,,,,
Saint Helena,2020,0,31,5.1,38.5,,,,,173,,0,2,0,,,,,,
Saint Helena,2024,0,33,5.1,38.5,,,,,189,,0,2.2,0,,,,,,
Saint Kitts and Nevis,2015,0,70,42.3,23.3,66.2,,3.64,,51,118,0.2,5,4,,,,,,
Saint Kitts and Nevis,2020,0,70,42.3,56.8,70.3,,,,57,30,0.2,5,4,,,,,,
Saint Kitts and Nevis,2024,0,70,42.3,56.8,76.5,,,,88,80,0.2,5,4,,,,,,
Saint Lucia,2015,1,43,34,45.6,57.3,,0.83,,58,345,0.5,2.8,17.85714286,,,,,,
Saint Lucia,2020,1,42,34,45.6,75.8,,6.2,,69,131,0.5,2.8,17.85714286,,,,,,
Saint Lucia,2024,1,44,34,45.6,74.2,,5.76,,105,356,0.5,2.9,17.24137931,,,,,,
Saint Pierre and Miquelon,2015,0,153,5.8,1.6,,,,,7,,0.1,11.1,0.900900901,,,,,,
Saint Pierre and Miquelon,2020,0,148,5.3,1.6,,,,,19,,0.1,10.8,0.925925926,,,,,,
Saint Pierre and Miquelon,2024,0,133,5.2,1.6,,,,,26,,0.1,9.7,1.030927835,,,,,,
Saint Vincent and the Grenadines,2015,0,33,73.2,45.6,49.4,,1.76,,54,75,0.2,2.3,8.695652174,,,,,,
Saint Vincent and the Grenadines,2020,0,34,73.2,45.6,77.4,,8.78,,65,27,0.2,2.3,8.695652174,,,,,,
Saint Vincent and the Grenadines,2024,0,34,73.2,45.6,77.7,,14.29,,95,59,0.2,2.3,8.695652174,,,,,,
Samoa,2015,2,24,58,47,25.4,,12.16,,90,128,0.2,1.1,18.18181818,88.6,55.4,159.9277978,40.1,48.4,82.85123967
Samoa,2020,2,24,58.2,47.1,70,,21.49,,100,23,0.2,1.1,18.18181818,90.2,56,161.0714286,37.3,45.5,81.97802198
Samoa,2024,2,24,58,47.1,75.3,,10.92,,123,49,0.2,1.1,18.18181818,90.2,56.2,160.4982206,36.7,44.3,82.84424379
San Marino,2015,,,16.7,,49.6,,,,1,54,,,,,,,,,
San Marino,2020,,,16.7,,78,,,,2,58,,,,,,,,,
San Marino,2024,,,16.7,,85.1,,,,6,94,,,,,,,,,
Sao Tome and Principe,2015,1,15,57.3,86.3,25.8,,15.55,,81,26,0.1,0.7,14.28571429,38.3,22.3,171.7488789,29.7,24.2,122.7272727
Sao Tome and Principe,2020,1,14,54.1,86.3,51.6,,19.31,,108,11,0.1,0.7,14.28571429,40.1,23.6,169.9152542,34,30.2,112.5827815
Sao Tome and Principe,2024,1,14,53.4,86.3,57,,13.07,,143,15,0.1,0.7,14.28571429,40.3,23.8,169.3277311,34.8,31.5,110.4761905
Saudi Arabia,2015,27183,298,0.5,18,69.6,,,0.8,119,17994,527.1,16.1,3273.913043,,,,82.4,,
Saudi Arabia,2020,25916,271,0.5,23.3,97.9,,,0.5,144,4138,475.1,13.2,3599.242424,,,,82.4,,
Saudi Arabia,2024,26624,305,0.5,23.3,100,0.57,,0.5,175,16638,549.2,15.3,3589.542484,,,,82.4,,
Senegal,2015,69,12,42.9,42.2,21.7,,5.02,0.6,106,1007,8.2,0.6,1366.666667,40.5,10.9,371.559633,17,17.2,98.8372093
Senegal,2020,86,12,41.9,45.4,53.3,,6.74,,145,1365,8.2,0.5,1640,41,12.2,336.0655738,13.9,13.5,102.962963
Senegal,2024,87,13,41.7,45.4,60,,5.14,,185,,9.6,0.6,1600,41.3,12.6,327.7777778,13.9,14.2,97.88732394
Serbia,2015,449,81,31.1,26.9,65.3,,0.83,0.8,56,1132,44.3,5.9,750.8474576,81.5,66.5,122.556391,24.8,30.1,82.39202658
Serbia,2020,458,89,31.1,29.6,78.4,,0.95,0.9,86,446,45.5,6.2,733.8709677,81.5,66.6,122.3723724,23,29.5,77.96610169
Serbia,2024,425,92,32.4,31.6,83.5,,0.88,1,119,1773,43.9,6,731.6666667,81.5,66.6,122.3723724,22.4,29.3,76.45051195
Seychelles,2015,0,70,73.3,24.3,54.3,,0.52,,435,276,0.5,5.2,9.615384615,,,,,,
Seychelles,2020,0,79,73.3,52.8,84.8,,1.15,0.2,451,115,0.6,5.8,10.34482759,,,,,,
Seychelles,2024,0,80,73.3,52.8,86.7,,,,468,332,0.6,5.9,10.16949153,,,,,,
Sierra Leone,2015,54,9,36.5,65.3,6.3,,22.75,,158,24,1.1,0.2,550,11.8,6.1,193.442623,16.7,6.7,249.2537313
Sierra Leone,2020,56,9,35.1,65.3,27.5,,21.1,,236,24,1,0.1,1000,12.1,7.9,153.164557,20.8,8.9,233.7078652
Sierra Leone,2024,57,9,34.8,65.3,30.4,,17.49,,303,40,1.3,0.2,650,12.2,8.7,140.2298851,22.5,9.8,229.5918367
Singapore,2015,26,215,23.2,21.1,79,,,2.2,287,12052,62.2,11,565.4545455,100,,,100,,
Singapore,2020,25,250,21.7,21.1,92,,,2.2,326,2086,81.2,13.7,592.7007299,100,,,100,,
Singapore,2024,25,252,21.4,21.1,96,,,,381,5344,81.6,13.7,595.620438,100,,,100,,
Sint Maarten (Dutch part),2015,,289,2.4,5.1,,,,,49,505,0.8,19,4.210526316,,,,,,
Sint Maarten (Dutch part),2020,,238,10.9,5.1,,,,,58,106,0.7,15.4,4.545454545,,,,,,
Sint Maarten (Dutch part),2024,,245,10.9,5.1,,,,,80,373,0.7,15.9,4.402515723,,,,,,
Slovakia,2015,265,124,40,84,77.6,0.1,,1.2,45,4869,28.7,5.3,541.509434,,,,88.5,75.5,117.218543
Slovakia,2020,280,125,40.1,85.8,89.9,0.16,,0.9,116,5630,26.3,4.8,547.9166667,,,,88.5,75.5,117.218543
Slovakia,2024,291,136,40.1,85.8,91.4,0.15,,0.9,104,,29.8,5.5,541.8181818,,,,88.5,75.5,117.218543
Slovenia,2015,143,133,62,73.3,73.1,0.37,,2.2,125,3022,12.6,6,210,,,,,,
Slovenia,2020,151,128,61.5,73.8,86.6,1.15,,2.1,175,1216,11.7,5.5,212.7272727,,,,,,
Slovenia,2024,140,130,61.4,73.8,88.9,1.03,,2.1,196,3936,11.9,5.6,212.5,,,,,,
Solomon Islands,2015,3,12,90.3,4.6,10,,14.82,,238,22,0.3,0.5,60,,,,,,
Solomon Islands,2020,3,11,90.1,4.6,39.6,,13.55,,256,4,0.3,0.4,75,,,,,,
Solomon Islands,2024,3,11,90.1,4.8,45,,15.97,,310,1,0.3,0.4,75,,,,,,
Somalia,2015,129,10,10.1,0,1.8,,23.77,,165,,0.6,0,inf,,,,41.1,16.4,250.6097561
Somalia,2020,151,10,9.5,0,15,,43.94,,199,,0.6,0,inf,,,,43.9,20.9,210.0478469
Somalia,2024,155,10,9.4,0,27.6,,33.2,,267,,0.6,0,inf,,,,44.5,21.8,204.1284404
South Africa,2015,6434,100,14.2,32.7,51.9,,0.42,0.7,527,8904,454.1,8.1,5606.17284,84.3,,,70.9,,
South Africa,2020,6308,93,14.1,36.4,72.1,,0.36,0.6,597,2802,443.3,7.5,5910.666667,81.6,,,72.5,,
South Africa,2024,5876,92,14,36.6,74.7,,0.25,,961,5698,434.2,7.3,5947.945205,80.5,,,73.1,,
South Sudan,2015,321,3,41.8,33.6,3,,15.92,,42,,2,0.2,1000,,,,,,
South Sudan,2020,359,3,11.3,33.6,9.3,,,,61,,1.7,0.2,850,,,,,,
South Sudan,2024,332,3,11.3,33.6,12.1,,,,72,,1.8,0.2,900,,,,,,
Spain,2015,1372,106,37.1,57.3,78.7,1.84,,1.2,551,68175,245,5.3,4622.641509,99.8,98.6,101.2170385,,,
Spain,2020,1406,96,37.2,57.6,93.2,1.08,,1.4,752,18933,193.9,4.1,4729.268293,99.8,98.6,101.2170385,,,
Spain,2024,1437,101,37.2,57.6,94.5,0.54,,1.4,813,71659,212.1,4.5,4713.333333,99.8,98.6,101.2170385,,,
Sri Lanka,2015,159,19,34.4,43.7,15.3,,0.57,0.1,580,1798,19.3,0.9,2144.444444,90.3,37.7,239.5225464,,,
Sri Lanka,2020,153,19,34.2,43.7,36.2,,0.28,0.1,641,508,20.1,0.9,2233.333333,87.5,38.4,227.8645833,,,
Sri Lanka,2024,166,21,34.1,43.7,50.1,,0.19,,837,720,22,1,2200,83,38.7,214.4702842,,,
State of Palestine,2015,9,16,1.7,0,56.7,,11.94,0.5,24,432,3.1,0.7,442.8571429,79.5,73.6,108.0163043,66.4,37.2,178.4946237
State of Palestine,2020,9,16,1.7,0,76,,11.28,,39,170,3.4,0.7,485.7142857,80.9,75.6,107.010582,72.3,49.8,145.1807229
State of Palestine,2024,10,17,1.7,23.5,88.6,,10.08,,59,,3.7,0.7,528.5714286,81.5,76.4,106.6753927,74.6,54.7,136.3802559
Sudan,2015,408,11,906.4,9.1,,,1.17,,123,741,12,0.3,4000,,,,,,
Sudan,2020,346,11,9.8,17.8,26.4,,9.21,,158,836,19.5,0.4,4875,,,,,,
Sudan,2024,383,12,9.7,17.8,28.7,,11.74,,174,,20.6,0.4,5150,,,,,,
Suriname,2015,45,75,97.8,51.2,42.8,,0.31,,76,228,2.7,4.7,57.44680851,63.1,38.2,165.1832461,22,36.2,60.77348066
Suriname,2020,43,74,97.4,51.2,69.8,,1.12,,88,278,2.9,4.8,60.41666667,63.4,40.8,155.3921569,20.7,33.9,61.0619469
Suriname,2024,44,68,97.3,51.2,75.8,,1.16,,156,,2.6,4.3,60.46511628,63.4,40.8,155.3921569,20.7,33.9,61.0619469
Sweden,2015,1398,186,68.7,57.9,90.6,2.05,,3.2,36,6482,30.9,3.1,996.7741935,,,,96,91.6,104.8034934
Sweden,2020,1394,174,68.7,59.2,94.5,1.27,,3.5,98,1957,28.7,2.8,1025,,,,96,91.8,104.5751634
Sweden,2024,1471,186,68.7,59.5,95.7,1.34,,3.4,71,6629,31,3,1033.333333,,,,96,91.8,104.5751634
Switzerland,2015,495,122,31.7,34.4,87.5,0.94,,3.1,62,9305,34.3,4.1,836.5853659,,,,99.9,97.4,102.5667351
Switzerland,2020,519,112,32.1,37.1,94.3,0.45,,3.2,128,3690,30.5,3.5,871.4285714,,,,99.9,99.6,100.3012048
Switzerland,2024,474,110,32.2,37.1,96.8,0.74,,3.4,134,9160,30.4,3.5,868.5714286,,,,99.9,99.6,100.3012048
Syrian Arab Republic,2015,197,22,2.8,0,30,,29.02,0,108,5070,26.3,1.4,1878.571429,,,,,,
Syrian Arab Republic,2020,191,18,2.8,0,34.6,,48.37,,147,,23.1,1.1,2100,,,,,,
Syrian Arab Republic,2024,199,17,2.8,0,,,,,173,,22.7,1.1,2063.636364,,,,,,
Tajikistan,2015,131,20,3,16.8,19,,4.41,0.1,41,414,4.7,0.6,783.3333333,,,,,58.4,
Tajikistan,2020,156,22,3.1,16.8,27.5,,7.51,0.1,48,351,7.5,0.8,937.5,,,,,59.3,
Tajikistan,2024,159,21,3.1,16.8,36.1,,5.26,,60,296,7.5,0.8,937.5,,,,,59.3,
Thailand,2015,3131,81,39.3,67.6,39.3,0.02,0.01,0.6,595,29923,252.6,3.6,7016.666667,,,,27.7,21.1,131.2796209
Thailand,2020,2925,78,38.9,68,77.8,,0.04,1.3,674,6725,248.3,3.5,7094.285714,,,,29.6,22.1,133.9366516
Thailand,2024,2770,80,38.8,68,88,0.01,0.03,1.2,858,511,237.4,3.3,7193.939394,,,,30,22.2,135.1351351
Timor-Leste,2015,281,6,62.4,40.7,18.6,,7.6,,21,62,0.4,0.4,100,,,,,,
Timor-Leste,2020,197,7,61.9,45.6,32,,10.49,,41,18,0.6,0.5,120,,,,,,
Timor-Leste,2024,206,7,61.8,45.6,40.8,,10.74,,66,6,0.6,0.4,150,,,,,,
Togo,2015,112,17,22.5,79.5,7.1,,4.62,0.2,66,273,1.1,0.1,1100,31,6.8,455.8823529,7.2,3.7,194.5945946
Togo,2020,138,19,22.2,79.5,29,,7.4,,94,482,1.6,0.2,800,33.7,7.7,437.6623377,7.1,4.7,151.0638298
Togo,2024,129,18,22.2,79.5,37.6,,4.16,,130,,1.8,0.2,900,33.9,8.1,418.5185185,7.1,4.7,151.0638298
Tokelau,2015,,,0,0,,,,,46,,,,,,,,,,
Tokelau,2020,,,0,0,,,,,54,,,,,,,,,,
Tokelau,2024,,,0,0,,,,,62,,,,,,,,,,
Tonga,2015,0,15,12.4,26.1,38.7,,15.51,,74,54,0.1,1.1,9.090909091,50.5,23.1,218.6147186,25.7,37.5,68.53333333
Tonga,2020,0,25,12.4,26.1,46.2,,30.75,,90,9,0.2,1.8,11.11111111,50.7,23.1,219.4805195,22.3,35.6,62.64044944
Tonga,2024,0,25,12.4,26.1,57.5,,,,121,18,0.2,1.8,11.11111111,50.8,23.1,219.9134199,22.3,35,63.71428571
Trinidad and Tobago,2015,1557,546,44.9,32,65.1,,0.02,0.1,65,440,22.9,15.7,145.8598726,,,,,,
Trinidad and Tobago,2020,1226,405,44.5,32,77.3,,,0.1,126,95,15.5,10.2,151.9607843,,,,,,
Trinidad and Tobago,2024,1079,421,44.4,32,80,,,0.1,169,226,14.9,9.8,152.0408163,,,,,,
Tunisia,2015,269,40,4.5,39.8,46.5,,1.12,0.6,83,5359,26,2.3,1130.434783,83.6,61,137.0491803,84.1,51.8,162.3552124
Tunisia,2020,207,37,4.5,39.8,68.6,,2.38,0.7,107,2012,25,2.1,1190.47619,77.3,66.1,116.9440242,88.9,62.9,141.3354531
Tunisia,2024,235,40,4.5,39.8,73.8,,2.4,,128,6441,26.9,2.2,1222.727273,77.4,67.1,115.3502235,88.9,62.9,141.3354531
Turkmenistan,2015,3407,171,8.8,14,15,,0.07,,49,,60.5,10.5,576.1904762,96.4,85.1,113.2784959,,,
Turkmenistan,2020,3255,162,8.8,14,21.3,,0.06,,59,,61.4,9.8,626.5306122,97.1,92.3,105.2004334,,,
Turkmenistan,2024,3283,159,8.8,14,,,,,59,,61.4,9.7,632.9896907,97.1,92.3,105.2004334,,,
Turks and Caicos Islands,2015,0,125,11.1,27.9,,,,,56,386,0.3,8.8,3.409090909,46.5,,,,,
Turks and Caicos Islands,2020,0,117,11.1,27.9,,,,,65,164,0.4,8.3,4.819277108,46.5,55.7,83.48294434,33.3,43.9,75.85421412
Turks and Caicos Islands,2024,0,118,11.1,27.9,,,,,94,405,0.4,8.3,4.819277108,46.5,55.7,83.48294434,33.3,43.9,75.85421412
Tuvalu,2015,0,11,33.3,,27.3,,88.66,,93,2,0,0.8,0,10.5,5.4,194.4444444,36.3,47.4,76.58227848
Tuvalu,2020,0,12,33.3,,75.4,,58.98,,99,1,0,0.9,0,10.5,5.4,194.4444444,35.1,43.6,80.50458716
Tuvalu,2024,0,12,33.3,,81.2,,42.87,,108,0,0,0.9,0,10.5,5.4,194.4444444,34.7,42.1,82.42280285
Türkiye,2015,1317,68,28.1,2.3,53.7,0.65,0.25,0.9,370,39478,327.6,4.1,7990.243902,,,,63.5,67.3,94.35364042
Türkiye,2020,1826,73,28.9,2.3,77.7,1.16,0.08,1.4,435,15894,364.3,4.3,8472.093023,,,,73.8,78.2,94.37340153
Türkiye,2024,1938,78,29.1,2.3,86,0.77,0.13,1.4,444,50453,398.6,4.7,8480.851064,,,,78,81.1,96.17755857
Uganda,2015,755,22,12.7,72.2,5.8,,5.16,0.1,188,1303,4.3,0.1,4300,35.6,5.7,624.5614035,21.8,15.2,143.4210526
Uganda,2020,874,24,11.7,72.2,7.4,,8.35,,266,473,5.1,0.1,5100,42.3,8.2,515.8536585,22.2,15.9,139.6226415
Uganda,2024,899,24,11.5,72.2,10,,6.45,,322,513,5.7,0.1,5700,45.1,9.3,484.9462366,22.4,16.2,138.2716049
Ukraine,2015,2552,83,16.7,58.3,48.9,,1.53,0.6,87,12428,193.5,4.3,4500,88.5,89.6,98.77232143,60.8,,
Ukraine,2020,2374,81,16.7,59.8,75,,1.46,0.4,132,3141,175.5,4,4387.5,88.3,87.2,101.2614679,68.9,,
Ukraine,2024,2249,84,16.7,59.8,79.2,,1.14,0.3,136,2173,173.4,4,4335,88.3,86.1,102.5551684,68.9,,
United Arab Emirates,2015,9995,401,4.5,45.9,90.5,,,0.9,48,16842,198.7,22.3,891.0313901,,,,98.4,98.5,99.89847716
United Arab Emirates,2020,9465,392,4.5,58.2,100,,,1.5,69,7165,198.3,21.4,926.635514,,,,98.5,98.5,100
United Arab Emirates,2024,9442,379,4.5,58.2,100,0.51,,1.5,98,11479,194.9,20.8,937.0192308,,,,98.5,98.5,100
United Kingdom,2015,4894,116,13,83.1,92,0.7,,2.3,87,35149,403.4,6.2,6506.451613,,,,99,93.6,105.7692308
United Kingdom,2020,4875,96,13.2,83.4,94.8,0.73,,2.9,176,10714,299.2,4.5,6648.888889,,,,99,93.6,105.7692308
United Kingdom,2024,4189,99,13.2,83.4,95.3,0.52,,2.9,165,30741,322,4.8,6708.333333,,,,99,93.6,105.7692308
United Republic of Tanzania,2015,791,17,54.3,59.1,10,,5.56,0.5,1077,1137,11.9,0.2,5950,23.6,2.5,944,29.8,16.6,179.5180723
United Republic of Tanzania,2020,912,17,51.6,65.8,25.6,,3.65,,1259,621,13.9,0.2,6950,24.9,3,830,34.4,19.8,173.7373737
United Republic of Tanzania,2024,938,17,51.1,66,31.9,,3.88,,1615,1027,15.9,0.2,7950,25.5,3.1,822.5806452,34.4,19.8,173.7373737
United States Virgin Islands,2015,0,1,54.7,43.4,54.8,,,,53,642,,,,,,,,,
United States Virgin Islands,2020,0,1,56.9,43.4,64.4,,,,74,303,,,,,,,,,
United States Virgin Islands,2024,0,2,57.3,43.4,,,,,114,685,,,,,,,,,
United States of America,2015,84553,282,33.9,38.1,74.6,0.21,,2.8,1299,77774,5016.5,15.5,32364.51613,97,,,97.2,,
United States of America,2020,90415,254,33.9,38.3,96.6,0.02,,3.5,1655,19212,4295.8,12.8,33560.9375,97.4,,,97.2,,
United States of America,2024,92799,266,33.9,38.3,97.1,0.89,,3.5,1931,50870,4596.8,13.6,33800,97.6,,,97.2,,
Uruguay,2015,127,63,11,21.5,64.6,,0.05,0.4,103,2773,6.4,1.9,336.8421053,94.5,,,,,
Uruguay,2020,132,64,11.6,23.3,85.5,,0.07,0.4,116,3059,6.2,1.8,344.4444444,94.6,,,,,
Uruguay,2024,137,68,11.7,23.3,89.9,,,0.4,147,,7.6,2.2,345.4545455,94.6,,,,,
Uzbekistan,2015,2058,56,8.1,13.2,42.8,,0.52,0.2,54,1918,100.2,3.2,3131.25,87.7,56.5,155.2212389,64.2,84.4,76.06635071
Uzbekistan,2020,1730,54,8.4,19.4,71.1,,2.45,0.1,62,1504,104.1,3.1,3358.064516,88.6,66.8,132.6347305,63.6,85.5,74.38596491
Uzbekistan,2024,2042,59,8.4,20.5,83.9,,1.67,0.2,74,5233,114.8,3.4,3376.470588,88.8,70.7,125.6011315,63.4,85.9,73.80675204
Vanuatu,2015,1,10,36.3,2.8,22.4,,25.07,,137,90,0.1,0.5,20,55.8,,,34.5,,
Vanuatu,2020,1,12,36.3,2.8,64.3,,15.62,,144,22,0.2,0.7,28.57142857,56.1,,,31.2,,
Vanuatu,2024,1,13,36.3,2.8,69.9,,16.39,,181,30,0.2,0.7,28.57142857,56.3,,,29.8,,
Venezuela (Bolivarian Republic of),2015,7393,85,52.9,78.8,58,,0.01,0.4,312,789,141.4,4.6,3073.913043,,,,,,
Venezuela (Bolivarian Republic of),2020,2350,45,52.4,78.8,61.6,,,0.7,379,427,64.9,2.3,2821.73913,,,,,,
Venezuela (Bolivarian Republic of),2024,2375,45,52.3,78.8,,,,,942,,62.7,2.2,2850,,,,,,
Viet Nam,2015,3035,35,44.9,40.2,45,,1.4,0.4,565,7944,181.5,2,9075,75,43.3,173.2101617,40.5,40.4,100.2475248
Viet Nam,2020,2337,45,46.7,40.2,70.3,,0.36,0.4,738,3837,311.1,3.2,9721.875,75.6,45.5,166.1538462,40.7,44,92.5
Viet Nam,2024,2602,41,47,40.2,78.6,,0.15,0.4,1053,3661,258.6,2.7,9577.777778,75.8,46.4,163.362069,40.8,45.4,89.86784141
Wallis and Futuna Islands,2015,0,29,41.6,0,9,,,,88,,0,2,0,,69,,,,
Wallis and Futuna Islands,2020,0,34,41.6,0,,,,,92,,0,2.4,0,,68.9,,,,
Wallis and Futuna Islands,2024,0,35,41.6,0,,,,,100,,0,2.5,0,,68.9,,,,
Western Sahara,2015,,,2.5,,,,,,39,,,,,,,,,,
Western Sahara,2020,,,2.5,,,,,,58,,,,,,,,,,
Western Sahara,2024,,,2.5,,,,,,87,,,,,,,,,,
Yemen,2015,173,6,1,27.9,24.1,,4.33,,287,367,12,0.4,3000,,,,61.4,,
Yemen,2020,164,4,1,27.9,13.8,,13.54,,313,,8.6,0.3,2866.666667,,,,60.6,,
Yemen,2024,154,4,1,27.9,17.7,,,,342,,8.4,0.3,2800,,,,60.5,,
Zambia,2015,351,25,61.5,46.1,8.8,,3.83,,83,932,4.5,0.3,1500,49.5,,,,23.7,
Zambia,2020,405,25,60.3,46.1,24.5,,5.77,,107,502,7.3,0.4,1825,45.5,,,,30.5,
Zambia,2024,417,25,60,46.1,31.2,,5.64,,148,554,7,0.4,1750,45.5,,,,30.5,
Zimbabwe,2015,438,32,45.7,85.1,22.7,,4.02,,60,2057,11.8,0.8,1475,54.9,14,392.1428571,33.1,31.5,105.0793651
Zimbabwe,2020,424,29,45.1,85.1,29.3,,5.65,,122,639,8.2,0.5,1640,55.4,12.9,429.4573643,36,30.6,117.6470588
Zimbabwe,2024,450,30,45,85.1,32.6,,3.86,,137,1044,9.7,0.6,1616.666667,55.5,12.6,440.4761905,34.7,30.4,114.1447368
