Employment in agriculture (% of employed),Employment in services (% employed),Economy: Agriculture (% of Gross Value Added),"Fertility rate, total (live births per woman)",Education: Upper Sec. gross enrol. ratio - Male (per 100 pop.),Education: Upper Sec. gross enrol. ratio - Female (per 100 pop.),Under five mortality rate (per 1000 live births),Economy: Services and other activity (% of GVA),Population growth rate (average annual %),Employment in industry (% of employed),gdp_class
3.9,65.4,3.3,1.6,112.6,116.3,3.4,69.2,0.2,30.7,2.0
3.0,67.9,2.3,1.6,118.1,129.1,2.0,71.9,0.1,29.1,3.0
2.6,68.8,2.8,1.4,117.9,128.7,2.3,70.0,1.0,28.6,3.0
13.4,61.8,9.8,3.1,66.7,64.8,64.0,52.6,0.6,24.7,1.0
13.6,62.5,8.7,2.9,77.4,74.1,54.7,57.8,1.2,23.9,1.0
69.0,23.1,38.8,4.5,17.6,17.4,63.3,43.7,2.7,7.8,0.0
30.4,55.1,10.0,2.6,70.9,81.9,21.9,70.6,0.1,14.5,1.0
29.7,56.3,16.9,2.4,70.9,86.4,26.3,62.8,0.3,14.0,1.0
28.8,57.0,15.3,2.3,71.4,84.8,20.4,66.3,0.5,14.2,1.0
4.2,74.1,2.6,1.6,184.9,212.6,2.1,70.4,0.3,21.7,3.0
3.7,74.4,2.8,1.4,171.7,199.8,2.3,69.4,0.2,21.9,3.0
3.8,74.8,2.6,1.3,172.1,205.9,2.3,68.0,0.2,21.4,3.0
2.7,76.9,1.8,1.9,105.4,108.6,4.3,78.5,0.3,20.4,3.0
2.4,77.7,1.8,1.8,107.7,108.6,4.0,79.4,0.3,20.0,3.0
2.6,78.2,2.1,1.6,108.5,109.6,3.8,79.1,0.2,19.3,3.0
30.2,54.0,7.0,3.8,46.2,49.0,41.2,49.8,2.3,15.8,2.0
51.8,41.6,24.3,5.0,42.9,37.1,59.6,56.9,2.7,6.6,0.0
47.5,45.0,23.4,3.9,133.7,158.1,43.1,58.5,2.3,7.5,0.0
44.0,44.9,8.8,2.2,102.3,103.1,10.7,69.7,0.0,11.0,1.0
41.1,45.5,8.3,2.0,110.0,107.2,9.6,67.5,0.1,13.4,1.0
39.9,46.3,7.0,1.8,118.0,112.7,7.7,68.4,0.0,13.8,1.0
1.4,70.9,0.8,1.5,109.8,98.4,3.9,69.1,1.2,27.7,3.0
1.2,71.4,0.8,1.5,110.4,95.1,3.6,69.7,0.0,27.4,3.0
1.2,71.9,1.0,1.4,110.8,96.0,3.4,69.3,0.3,26.9,3.0
35.2,46.1,21.8,4.0,52.4,46.1,55.5,44.2,2.3,18.7,0.0
40.5,40.9,20.1,3.5,65.6,62.1,45.5,48.1,2.0,18.6,0.0
39.7,41.4,20.9,3.3,72.5,72.2,40.1,44.9,1.9,18.9,0.0
12.5,72.4,4.4,1.3,109.1,102.4,4.2,79.2,0.7,15.0,2.0
10.3,74.7,4.7,1.4,106.7,104.8,3.8,78.6,0.3,15.0,2.0
11.2,73.3,4.3,1.3,108.6,106.6,3.4,76.6,1.8,15.6,3.0
31.9,49.2,10.6,3.0,36.5,37.2,28.6,65.3,1.8,18.9,1.0
30.5,49.2,10.5,2.5,35.4,37.5,23.7,65.8,1.5,20.3,1.0
27.1,50.8,9.9,2.3,29.0,33.8,21.2,66.0,1.5,22.0,1.0
63.5,30.4,20.1,5.0,34.9,21.9,112.3,51.3,2.6,6.1,0.0
61.2,31.8,28.2,4.5,35.2,26.1,100.3,41.3,2.5,7.0,0.0
