"Fertility rate, total (live births per woman)",Under five mortality rate (per 1000 live births),Economy: Services and other activity (% of GVA),Population growth rate (average annual %),Economy: Agriculture (% of Gross Value Added),gdp_class
3.0,65.2,86.6,1.7,1.3,1.0
2.7,55.6,86.6,1.5,1.4,1.0
2.6,49.1,86.6,1.3,1.4,1.0
1.6,32.2,68.8,0.4,16.5,2.0
1.5,30.7,67.9,0.5,17.8,2.0
1.5,31.7,66.3,0.4,19.5,2.0
2.4,34.9,63.5,1.1,5.9,2.0
2.3,33.5,61.2,1.1,6.5,2.0
2.2,31.5,58.4,0.8,6.2,2.0
2.2,15.4,55.4,1.4,10.2,1.0
2.0,13.0,56.8,0.8,10.5,1.0
1.8,12.1,57.1,0.9,9.4,1.0
3.5,23.4,52.5,2.0,11.3,1.0
2.8,19.4,54.3,1.6,12.1,1.0
2.7,16.2,54.1,1.6,11.5,1.0
2.1,15.4,66.1,0.3,6.1,1.0
1.8,12.8,67.9,0.4,5.9,1.0
1.8,11.3,66.6,0.4,5.3,1.0
4.8,93.3,39.1,3.7,1.9,2.0
4.3,78.4,51.6,2.3,2.9,1.0
4.1,69.2,44.7,2.4,2.6,2.0
4.2,46.5,51.6,0.7,17.2,0.0
3.9,39.2,51.4,1.8,17.3,0.0
3.7,33.9,51.4,1.9,17.3,0.0
1.6,3.4,69.2,0.2,3.3,2.0
1.6,2.0,71.9,0.1,2.3,3.0
1.4,2.3,70.0,1.0,2.8,3.0
3.1,64.0,52.6,0.6,9.8,1.0
2.9,54.7,57.8,1.2,8.7,1.0
2.7,48.8,56.4,1.0,8.8,1.0
4.5,63.3,43.7,2.7,38.8,0.0
4.3,50.4,38.6,2.7,37.2,0.0
3.9,43.2,37.7,2.6,38.8,0.0
2.6,21.9,70.6,0.1,10.0,1.0
2.4,26.3,62.8,0.3,16.9,1.0
2.3,20.4,66.3,0.5,15.3,1.0
1.6,2.1,70.4,0.3,2.6,3.0
1.4,2.3,69.4,0.2,2.8,3.0
1.3,2.3,68.0,0.2,2.6,3.0
1.9,4.3,78.5,0.3,1.8,3.0
1.8,4.0,79.4,0.3,1.8,3.0
1.6,3.8,79.1,0.2,2.1,3.0
1.9,7.4,84.4,0.5,3.6,2.0
1.6,6.5,85.3,0.3,3.0,2.0
1.5,6.0,85.4,0.2,2.8,2.0
3.9,49.5,43.4,3.0,4.7,2.0
3.8,41.2,49.8,2.3,7.0,2.0
3.6,36.3,38.3,2.1,6.2,2.0
5.0,59.6,56.9,2.7,24.3,0.0
4.2,49.0,58.6,2.4,23.1,0.0
3.9,43.1,58.5,2.3,23.4,0.0
2.2,10.7,69.7,0.0,8.8,1.0
2.0,9.6,67.5,0.1,8.3,1.0
1.8,7.7,68.4,0.0,7.0,1.0
1.5,3.9,69.1,1.2,0.8,3.0
1.5,3.6,69.7,0.0,0.8,3.0
1.4,3.4,69.3,0.3,1.0,3.0
4.0,55.5,44.2,2.3,21.8,0.0
3.5,45.5,48.1,2.0,20.1,0.0
3.3,40.1,44.9,1.9,20.9,0.0
1.3,4.2,79.2,0.7,4.4,2.0
1.4,3.8,78.6,0.3,4.7,2.0
1.3,3.4,76.6,1.8,4.3,3.0
2.1,11.1,64.9,0.1,17.6,3.0
2.0,11.4,62.8,0.1,18.1,3.0
1.9,11.4,63.6,0.2,18.5,3.0
1.7,15.1,77.2,0.4,8.6,2.0
1.5,15.8,78.8,0.4,5.8,2.0
1.5,14.4,76.3,0.1,6.1,2.0
3.0,28.6,65.3,1.8,10.6,1.0
2.5,23.7,65.8,1.5,10.5,1.0
2.3,21.2,66.0,1.5,9.9,1.0
5.0,112.3,51.3,2.6,20.1,0.0
4.5,100.3,41.3,2.5,28.2,0.0
4.1,92.0,39.6,2.3,29.4,0.0
4.7,92.2,38.2,2.5,49.0,0.0
4.1,77.0,53.2,2.3,32.6,0.0
3.8,68.2,53.7,2.2,32.3,0.0
2.7,33.0,46.8,0.6,27.0,1.0
2.5,28.3,41.2,1.1,17.8,2.0
2.4,22.2,19.8,0.6,10.3,2.0
3.1,69.9,54.8,1.4,18.0,0.0
2.8,60.2,55.2,1.2,20.9,0.0
2.6,56.8,49.3,1.1,20.7,0.0
2.7,20.5,60.8,1.9,12.6,1.0
2.6,17.3,60.5,1.7,12.6,1.0
2.5,15.0,59.2,1.7,13.2,1.0
1.4,5.1,64.2,0.3,4.5,2.0
1.6,4.0,67.1,0.4,4.0,2.0
1.5,3.6,67.3,0.3,3.8,2.0
1.8,3.3,71.7,1.0,5.9,3.0
1.7,3.4,72.5,1.3,5.2,3.0
1.5,1.6,71.7,1.4,4.5,3.0
2.3,43.5,52.3,1.2,17.7,0.0
2.0,32.6,52.5,0.9,20.3,0.0
2.0,28.2,53.3,0.9,18.4,1.0
2.3,27.5,44.7,1.1,13.9,1.0
2.2,22.8,46.1,0.8,14.2,1.0
2.1,19.9,43.7,0.8,13.0,1.0
