Employment in agriculture (% of employed),Employment in services (% employed),Economy: Agriculture (% of Gross Value Added),"Fertility rate, total (live births per woman)",Education: Upper Sec. gross enrol. ratio - Male (per 100 pop.),Education: Upper Sec. gross enrol. ratio - Female (per 100 pop.),Health: Physicians (per 1 000 pop.),Under five mortality rate (per 1000 live births),Urban population (% of total population),Economy: Services and other activity (% of GVA),Population growth rate (average annual %),Employment in industry (% of employed),gdp_class
2.6,60.1,2.2,1.8,101.9,103.8,4.2,2.8,73.9,64.1,0.1,37.2,3.0
43.5,44.5,19.8,5.0,31.9,21.8,0.2,86.7,49.4,58.4,2.9,12.1,0.0
46.2,43.3,20.3,4.5,39.2,30.4,0.2,73.8,51.2,56.7,2.5,10.5,1.0
46.4,40.4,21.6,1.9,94.9,96.9,3.5,21.4,61.3,32.2,0.5,13.2,0.0
45.5,41.7,22.4,1.8,98.8,101.4,3.7,17.5,62.1,33.8,0.4,12.8,0.0
59.2,31.5,19.7,6.4,45.0,27.7,0.1,95.7,42.7,35.5,3.3,9.3,0.0
2.5,78.1,1.1,1.7,143.7,153.2,3.9,4.1,87.5,75.9,0.8,19.4,3.0
2.1,79.0,1.6,1.7,140.4,141.1,4.4,3.5,88.0,75.7,0.3,18.9,3.0
1.4,93.2,1.3,3.0,39.8,30.1,0.2,65.2,77.4,86.6,1.7,5.4,1.0
9.7,71.9,5.9,2.4,70.0,80.5,1.5,34.9,78.6,63.5,1.1,18.4,2.0
9.0,71.6,6.5,2.3,62.1,73.6,1.9,33.5,81.8,61.2,1.1,19.5,2.0
26.2,54.1,10.2,2.2,94.1,99.2,1.8,15.4,63.4,55.4,1.4,19.7,1.0
31.8,52.3,10.5,2.0,93.4,97.2,2.3,13.0,64.0,56.8,0.8,15.9,1.0
25.8,49.1,11.3,3.5,64.3,63.2,0.8,23.4,42.8,52.5,2.0,25.1,1.0
20.4,51.1,12.1,2.8,74.4,71.4,0.7,19.4,42.7,54.3,1.6,28.5,1.0
15.8,60.9,5.9,1.8,50.1,54.0,2.9,12.8,72.7,67.9,0.4,23.4,1.0
66.5,24.8,17.2,4.2,34.2,28.8,0.1,46.5,38.2,51.6,0.7,8.7,0.0
64.7,26.5,17.3,3.9,27.0,25.5,0.1,39.2,40.7,51.4,1.8,8.8,0.0
3.9,65.4,3.3,1.6,112.6,116.3,3.4,3.4,68.4,69.2,0.2,30.7,2.0
3.0,67.9,2.3,1.6,118.1,129.1,3.5,2.0,69.1,71.9,0.1,29.1,3.0
13.4,61.8,9.8,3.1,66.7,64.8,0.1,64.0,23.3,52.6,0.6,24.7,1.0
13.6,62.5,8.7,2.9,77.4,74.1,0.1,54.7,24.0,57.8,1.2,23.9,1.0
30.4,55.1,10.0,2.6,70.9,81.9,0.8,21.9,54.7,70.6,0.1,14.5,1.0
4.2,74.1,2.6,1.6,184.9,212.6,3.4,2.1,85.2,70.4,0.3,21.7,3.0
3.7,74.4,2.8,1.4,171.7,199.8,3.6,2.3,85.4,69.4,0.2,21.9,3.0
2.7,76.9,1.8,1.9,105.4,108.6,3.2,4.3,79.7,78.5,0.3,20.4,3.0
2.4,77.7,1.8,1.8,107.7,108.6,3.3,4.0,80.7,79.4,0.3,20.0,3.0
30.2,54.0,7.0,3.8,46.2,49.0,0.6,41.2,89.7,49.8,2.3,15.8,2.0
51.8,41.6,24.3,5.0,42.9,37.1,0.1,59.6,59.2,56.9,2.7,6.6,0.0
44.0,44.9,8.8,2.2,102.3,103.1,5.3,10.7,57.4,69.7,0.0,11.0,1.0
41.1,45.5,8.3,2.0,110.0,107.2,5.2,9.6,59.0,67.5,0.1,13.4,1.0
1.4,70.9,0.8,1.5,109.8,98.4,4.1,3.9,77.2,69.1,1.2,27.7,3.0
1.2,71.4,0.8,1.5,110.4,95.1,4.5,3.6,77.4,69.7,0.0,27.4,3.0
